kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status,_src
net,2,sp,gelu,256,2.0,,,0.9841,,,,0.011831,0.8002,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,256,3.0,,,0.9855,,,,0.014603,0.795,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,256,4.0,,,0.9846,,,,0.021772,0.8049,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,512,0.0,,,0.9861,,,,0.007475,0.5167,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,512,1.0,,,0.9863,,,,0.010824,0.5172,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,512,2.0,,,0.986,,,,0.008518,0.5207,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,512,3.0,,,0.9851,,,,0.008441,0.5167,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,512,4.0,,,0.9852,,,,0.006813,0.5232,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,1024,0.0,,,0.9867,,,,0.005949,0.342,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,1024,1.0,,,0.9864,,,,0.00608,0.3415,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,1024,2.0,,,0.9855,,,,0.005416,0.3349,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,1024,3.0,,,0.9868,,,,0.004662,0.3425,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,1024,4.0,,,0.9867,,,,0.006189,0.3422,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,2048,0.0,,,0.9857,,,,0.002774,0.2272,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,2048,1.0,,,0.9854,,,,0.002996,0.2303,30,ok,param_mlp_v2_shard2.csv
